"";"id";"part_index";"parent_id";"title";"type";"course_id";"obsels";"max.duration";"size";"nb_img";"vid_length";"Readers"
"1";1946386;0;0;"Comprendre le Web";"course";1946386;0;NA;0;0;0;11793
"2";2212820;1;2212829;"Introduction";"title-2";1946386;0;545;0;0;166;9707
"3";2212822;2;2212829;"Qu'est-ce que le Web ?";"title-2";1946386;0;404;0;0;121;9133
"4";2212824;3;2212829;"Web, services et Cloud";"title-2";1946386;0;648,6;0;0;236;8560
"5";2212826;4;2212829;"Comment est né le Web ?";"title-2";1946386;0;788;0;0;289;8063
"6";2212828;5;2212829;"En résumé";"title-2";1946386;0;1943;0;0;51;7816
"7";2212829;-1;1946386;"Qu'est-ce que le Web ?";"title-1";1946386;0;NA;0;0;0;0
"8";2212831;6;2212840;"Les langages client";"title-2";1946386;0;1000;0;0;262;7785
"9";2212833;7;2212840;"Les langages serveur";"title-2";1946386;0;1132;0;0;458;7131
"10";2212835;8;2212840;"Les bases de données";"title-2";1946386;0;770,9;0;0;242;6758
"11";2212837;9;2212840;"Les sites responsive et mobile";"title-2";1946386;0;365;0;0;107;6589
"12";2212839;10;2212840;"En résumé";"title-2";1946386;0;568,7;0;0;93;6442
"13";2212840;-2;1946386;"Les langages du Web";"title-1";1946386;0;NA;0;0;0;0
"14";2212842;11;2212850;"Les serveurs";"title-2";1946386;0;906;0;0;298;6706
"15";2212844;12;2212850;"IP et noms d'hôtes";"title-2";1946386;0;482,4;0;0;147;6426
"16";2212846;13;2212850;"Les protocoles";"title-2";1946386;0;889,4;0;0;352;6377
"17";2212849;14;2212850;"En résumé";"title-2";1946386;0;449,9;0;0;75;6137
"18";2212850;-3;1946386;"Les réseaux derrière le Web";"title-1";1946386;0;NA;0;0;0;0
"19";2212852;15;2212859;"Qu'est-ce qu'un développeur ?";"title-2";1946386;0;976,9;0;0;357;6590
"20";2212854;16;2212859;"Comment devenir développeur Web ?";"title-2";1946386;0;572;0;0;257;6686
"21";2212856;17;2212859;"Les secrets bien gardés pour devenir développeur";"title-2";1946386;0;451,8;0;0;243;6873
"22";2212858;18;2212859;"En résumé";"title-2";1946386;0;418;0;0;85;6129
"23";2212859;-4;1946386;"Qui sont les développeurs ?";"title-1";1946386;0;NA;0;0;0;0
